System Timestamp,GPS Timestamp,Latitude,Longitude,Heading Angle,filename
02:46.1,22/09/2024 11:02,58.3841996,26.7267664,160.00758,1863
02:47.1,22/09/2024 11:02,58.3841745,26.7267859,156.42096,1887
02:48.1,22/09/2024 11:02,58.3841553,26.7267965,167.95544,1911
02:49.1,22/09/2024 11:02,58.3841364,26.7268015,174.13086,1935
02:50.1,22/09/2024 11:02,58.3841124,26.7268183,156.5137,1959
02:51.1,22/09/2024 11:02,58.3840819,26.7268419,158.98528,1983
02:52.1,22/09/2024 11:02,58.3840445,26.7268729,156.18756,2007
02:53.1,22/09/2024 11:02,58.3840004,26.7269105,155.94546,2031
02:54.1,22/09/2024 11:02,58.3839519,26.7269514,155.91986,2055
02:55.1,22/09/2024 11:02,58.3839019,26.7269948,155.3867,2079
02:56.1,22/09/2024 11:02,58.3838505,26.7270393,155.79006,2103
02:57.1,22/09/2024 11:02,58.3837989,26.7270832,155.82892,2127
02:58.1,22/09/2024 11:02,58.383747,26.7271263,156.71736,2151
02:59.1,22/09/2024 11:02,58.383694,26.7271668,158.83818,2175
03:00.1,22/09/2024 11:03,58.3836413,26.7272086,156.90178,2199
03:01.1,22/09/2024 11:03,58.3835895,26.7272529,155.5354,2223
03:02.1,22/09/2024 11:03,58.3835374,26.7272975,155.91646,2247
03:03.1,22/09/2024 11:03,58.3834855,26.7273414,156.03902,2271
03:04.1,22/09/2024 11:03,58.3834345,26.7273866,154.65884,2295
03:05.1,22/09/2024 11:03,58.3833869,26.7274306,154.23156,2319
03:06.1,22/09/2024 11:03,58.383349,26.727471,149.47018,2343
03:07.1,22/09/2024 11:03,58.3833225,26.7275156,133.44938,2367
03:08.1,22/09/2024 11:03,58.3833101,26.7275687,105.5126,2391
03:09.1,22/09/2024 11:03,58.383309,26.7276298,87.49544,2415
03:10.1,22/09/2024 11:03,58.3833168,26.7276932,72.68978,2439
03:11.1,22/09/2024 11:03,58.3833393,26.727757,50.53867,2463
03:12.1,22/09/2024 11:03,58.3833703,26.7278263,49.37848,2487
03:13.1,22/09/2024 11:03,58.383404,26.7279029,50.24346,2511
03:14.1,22/09/2024 11:03,58.3834387,26.7279825,50.18882,2535
03:15.1,22/09/2024 11:03,58.3834747,26.7280623,49.07988,2559
03:16.1,22/09/2024 11:03,58.3835094,26.728136,47.53653,2583
03:17.1,22/09/2024 11:03,58.3835399,26.7281953,43.865,2607
03:18.1,22/09/2024 11:03,58.3835658,26.7282383,39.12619,2631
